手表编号,接收时间,状态
73,2017-05-12 15:42:16,数据为空
74,2017-05-12 15:42:16,出校
75,2017-05-12 15:42:16,出校
76,2017-05-12 15:42:16,出校
77,2017-05-12 15:42:16,校内
78,2017-05-12 15:42:16,数据为空
79,2017-05-12 15:42:16,出校
80,2017-05-12 15:42:16,出校
81,2017-05-12 15:42:16,出校
82,2017-05-12 15:42:16,出校
83,2017-05-12 15:42:16,出校
84,2017-05-12 15:42:16,出校
85,2017-05-12 15:42:16,数据为空
86,2017-05-12 15:42:16,数据为空
87,2017-05-12 15:42:16,出校
88,2017-05-12 15:42:16,出校
89,2017-05-12 15:42:16,出校
90,2017-05-12 15:42:16,出校
91,2017-05-12 15:42:16,出校
92,2017-05-12 15:42:16,出校
93,2017-05-12 15:42:16,出校
94,2017-05-12 15:42:16,数据为空
95,2017-05-12 15:42:16,出校
96,2017-05-12 15:42:16,出校
97,2017-05-12 15:42:16,出校
98,2017-05-12 15:42:16,出校
99,2017-05-12 15:42:16,出校
100,2017-05-12 15:42:16,出校
1,2017-05-12 15:42:16,出校
2,2017-05-12 15:42:16,出校
3,2017-05-12 15:42:16,出校
4,2017-05-12 15:42:16,出校
5,2017-05-12 15:42:16,出校
6,2017-05-12 15:42:16,出校
7,2017-05-12 15:42:16,出校
8,2017-05-12 15:42:16,校内
9,2017-05-12 15:42:16,出校
10,2017-05-12 15:42:16,出校
11,2017-05-12 15:42:16,出校
12,2017-05-12 15:42:16,出校
13,2017-05-12 15:42:16,出校
14,2017-05-12 15:42:16,数据为空
15,2017-05-12 15:42:16,出校
16,2017-05-12 15:42:16,数据为空
17,2017-05-12 15:42:16,出校
18,2017-05-12 15:42:16,出校
19,2017-05-12 15:42:16,出校
20,2017-05-12 15:42:16,出校
21,2017-05-12 15:42:16,出校
22,2017-05-12 15:42:16,出校
23,2017-05-12 15:42:16,出校
24,2017-05-12 15:42:16,出校
25,2017-05-12 15:42:16,出校
26,2017-05-12 15:42:16,出校
27,2017-05-12 15:42:16,出校
28,2017-05-12 15:42:16,出校
29,2017-05-12 15:42:16,出校
30,2017-05-12 15:42:16,出校
31,2017-05-12 15:42:16,出校
32,2017-05-12 15:42:16,数据为空
33,2017-05-12 15:42:16,数据为空
34,2017-05-12 15:42:16,出校
35,2017-05-12 15:42:16,出校
36,2017-05-12 15:42:16,出校
37,2017-05-12 15:42:16,出校
38,2017-05-12 15:42:16,出校
39,2017-05-12 15:42:16,出校
40,2017-05-12 15:42:16,出校
41,2017-05-12 15:42:16,数据为空
42,2017-05-12 15:42:16,出校
43,2017-05-12 15:42:16,出校
44,2017-05-12 15:42:16,数据为空
45,2017-05-12 15:42:16,数据为空
46,2017-05-12 15:42:16,数据为空
47,2017-05-12 15:42:16,数据为空
48,2017-05-12 15:42:16,数据为空
49,2017-05-12 15:42:16,数据为空
50,2017-05-12 15:42:16,数据为空
51,2017-05-12 15:42:16,出校
52,2017-05-12 15:42:16,出校
53,2017-05-12 15:42:16,出校
54,2017-05-12 15:42:16,出校
55,2017-05-12 15:42:16,数据为空
56,2017-05-12 15:42:16,出校
57,2017-05-12 15:42:16,出校
58,2017-05-12 15:42:16,出校
59,2017-05-12 15:42:16,出校
60,2017-05-12 15:42:16,出校
61,2017-05-12 15:42:16,数据为空
62,2017-05-12 15:42:16,出校
63,2017-05-12 15:42:16,出校
64,2017-05-12 15:42:16,出校
65,2017-05-12 15:42:16,出校
66,2017-05-12 15:42:16,数据为空
67,2017-05-12 15:42:16,出校
68,2017-05-12 15:42:16,数据为空
69,2017-05-12 15:42:16,出校
70,2017-05-12 15:42:16,出校
71,2017-05-12 15:42:16,出校
72,2017-05-12 15:42:16,出校
73,2017-05-12 15:42:16,数据为空
74,2017-05-12 15:42:16,出校
75,2017-05-12 15:42:16,出校
76,2017-05-12 15:42:16,出校
77,2017-05-12 15:42:16,校内
78,2017-05-12 15:42:16,数据为空
79,2017-05-12 15:42:16,出校
80,2017-05-12 15:42:16,出校
81,2017-05-12 15:42:16,出校
82,2017-05-12 15:42:16,出校
83,2017-05-12 15:42:16,出校
84,2017-05-12 15:42:16,出校
85,2017-05-12 15:42:16,数据为空
86,2017-05-12 15:42:16,数据为空
87,2017-05-12 15:42:16,出校
88,2017-05-12 15:42:16,出校
89,2017-05-12 15:42:16,出校
90,2017-05-12 15:42:16,出校
91,2017-05-12 15:42:16,出校
92,2017-05-12 15:42:16,出校
93,2017-05-12 15:42:16,出校
94,2017-05-12 15:42:16,数据为空
95,2017-05-12 15:42:16,出校
96,2017-05-12 15:42:16,出校
97,2017-05-12 15:42:16,出校
98,2017-05-12 15:42:16,出校
99,2017-05-12 15:42:16,出校
100,2017-05-12 15:42:16,出校
1,2017-05-12 15:42:16,出校
2,2017-05-12 15:42:16,出校
3,2017-05-12 15:42:16,出校
4,2017-05-12 15:42:16,出校
5,2017-05-12 15:42:16,出校
6,2017-05-12 15:42:16,出校
7,2017-05-12 15:42:16,出校
8,2017-05-12 15:42:16,校内
9,2017-05-12 15:42:16,出校
10,2017-05-12 15:42:16,出校
11,2017-05-12 15:42:16,出校
12,2017-05-12 15:42:16,出校
13,2017-05-12 15:42:16,出校
14,2017-05-12 15:42:16,数据为空
15,2017-05-12 15:42:16,出校
16,2017-05-12 15:42:16,数据为空
17,2017-05-12 15:42:16,出校
18,2017-05-12 15:42:16,出校
19,2017-05-12 15:42:16,出校
20,2017-05-12 15:42:16,出校
21,2017-05-12 15:42:16,出校
22,2017-05-12 15:42:16,出校
23,2017-05-12 15:42:16,出校
24,2017-05-12 15:42:16,出校
25,2017-05-12 15:42:16,出校
26,2017-05-12 15:42:16,出校
27,2017-05-12 15:42:16,出校
28,2017-05-12 15:42:16,出校
29,2017-05-12 15:42:16,出校
30,2017-05-12 15:42:16,出校
31,2017-05-12 15:42:16,出校
32,2017-05-12 15:42:16,数据为空
33,2017-05-12 15:42:16,数据为空
34,2017-05-12 15:42:16,出校
35,2017-05-12 15:42:16,出校
36,2017-05-12 15:42:16,出校
37,2017-05-12 15:42:16,出校
38,2017-05-12 15:42:16,出校
39,2017-05-12 15:42:16,出校
40,2017-05-12 15:42:16,出校
41,2017-05-12 15:42:16,数据为空
42,2017-05-12 15:42:16,出校
43,2017-05-12 15:42:16,出校
44,2017-05-12 15:42:16,数据为空
45,2017-05-12 15:42:16,数据为空
46,2017-05-12 15:42:16,数据为空
47,2017-05-12 15:42:16,数据为空
48,2017-05-12 15:42:16,数据为空
49,2017-05-12 15:42:16,数据为空
50,2017-05-12 15:42:16,数据为空
51,2017-05-12 15:42:16,出校
52,2017-05-12 15:42:16,出校
53,2017-05-12 15:42:16,出校
54,2017-05-12 15:42:16,出校
55,2017-05-12 15:42:16,数据为空
56,2017-05-12 15:42:16,出校
57,2017-05-12 15:42:16,出校
58,2017-05-12 15:42:16,出校
59,2017-05-12 15:42:16,出校
60,2017-05-12 15:42:16,出校
61,2017-05-12 15:42:16,数据为空
62,2017-05-12 15:42:16,出校
63,2017-05-12 15:42:16,出校
64,2017-05-12 15:42:16,出校
65,2017-05-12 15:42:16,出校
66,2017-05-12 15:42:16,数据为空
67,2017-05-12 15:42:16,出校
68,2017-05-12 15:42:16,数据为空
69,2017-05-12 15:42:16,出校
70,2017-05-12 15:42:16,出校
71,2017-05-12 15:42:16,出校
72,2017-05-12 15:42:16,出校
73,2017-05-12 15:42:16,数据为空
74,2017-05-12 15:42:16,出校
75,2017-05-12 15:42:16,出校
76,2017-05-12 15:42:16,出校
77,2017-05-12 15:42:16,校内
78,2017-05-12 15:42:16,数据为空
79,2017-05-12 15:42:16,出校
80,2017-05-12 15:42:16,出校
81,2017-05-12 15:42:16,出校
82,2017-05-12 15:42:16,出校
83,2017-05-12 15:42:16,出校
84,2017-05-12 15:42:16,出校
85,2017-05-12 15:42:16,数据为空
86,2017-05-12 15:42:16,数据为空
87,2017-05-12 15:42:16,出校
88,2017-05-12 15:42:16,出校
89,2017-05-12 15:42:16,出校
90,2017-05-12 15:42:16,出校
91,2017-05-12 15:42:16,出校
92,2017-05-12 15:42:16,出校
93,2017-05-12 15:42:16,出校
94,2017-05-12 15:42:16,数据为空
95,2017-05-12 15:42:16,出校
96,2017-05-12 15:42:16,出校
97,2017-05-12 15:42:16,出校
98,2017-05-12 15:42:16,出校
99,2017-05-12 15:42:16,出校
100,2017-05-12 15:42:16,出校
1,2017-05-12 15:42:16,出校
2,2017-05-12 15:42:16,出校
3,2017-05-12 15:42:16,出校
4,2017-05-12 15:42:16,出校
5,2017-05-12 15:42:16,出校
6,2017-05-12 15:42:16,出校
7,2017-05-12 15:42:16,出校
8,2017-05-12 15:42:16,校内
9,2017-05-12 15:42:16,出校
10,2017-05-12 15:42:16,出校
11,2017-05-12 15:42:16,出校
12,2017-05-12 15:42:16,出校
13,2017-05-12 15:42:16,出校
14,2017-05-12 15:42:16,数据为空
15,2017-05-12 15:42:16,出校
16,2017-05-12 15:42:16,数据为空
17,2017-05-12 15:42:16,出校
18,2017-05-12 15:42:16,出校
19,2017-05-12 15:42:16,出校
20,2017-05-12 15:42:16,出校
21,2017-05-12 15:42:16,出校
22,2017-05-12 15:42:16,出校
23,2017-05-12 15:42:16,出校
24,2017-05-12 15:42:16,出校
25,2017-05-12 15:42:16,出校
26,2017-05-12 15:42:16,出校
27,2017-05-12 15:42:16,出校
28,2017-05-12 15:42:16,出校
29,2017-05-12 15:42:16,出校
30,2017-05-12 15:42:16,出校
31,2017-05-12 15:42:16,出校
32,2017-05-12 15:42:16,数据为空
33,2017-05-12 15:42:16,数据为空
34,2017-05-12 15:42:16,出校
35,2017-05-12 15:42:16,出校
36,2017-05-12 15:42:16,出校
37,2017-05-12 15:42:16,出校
38,2017-05-12 15:42:16,出校
39,2017-05-12 15:42:16,出校
40,2017-05-12 15:42:16,出校
41,2017-05-12 15:42:16,数据为空
42,2017-05-12 15:42:16,出校
43,2017-05-12 15:42:16,出校
44,2017-05-12 15:42:16,数据为空
45,2017-05-12 15:42:16,数据为空
46,2017-05-12 15:42:16,数据为空
47,2017-05-12 15:42:16,数据为空
48,2017-05-12 15:42:16,数据为空
49,2017-05-12 15:42:16,数据为空
50,2017-05-12 15:42:16,数据为空
51,2017-05-12 15:42:16,出校
52,2017-05-12 15:42:16,出校
53,2017-05-12 15:42:16,出校
54,2017-05-12 15:42:16,出校
55,2017-05-12 15:42:16,数据为空
56,2017-05-12 15:42:16,出校
57,2017-05-12 15:42:16,出校
58,2017-05-12 15:42:16,出校
59,2017-05-12 15:42:16,出校
60,2017-05-12 15:42:16,出校
61,2017-05-12 15:42:16,数据为空
62,2017-05-12 15:42:16,出校
63,2017-05-12 15:42:16,出校
64,2017-05-12 15:42:16,出校
65,2017-05-12 15:42:16,出校
66,2017-05-12 15:42:16,数据为空
67,2017-05-12 15:42:16,出校
68,2017-05-12 15:42:16,数据为空
69,2017-05-12 15:42:16,出校
70,2017-05-12 15:42:16,出校
71,2017-05-12 15:42:16,出校
72,2017-05-12 15:42:16,出校
73,2017-05-12 15:42:16,数据为空
74,2017-05-12 15:42:16,出校
75,2017-05-12 15:42:16,出校
76,2017-05-12 15:42:16,出校
77,2017-05-12 15:42:16,校内
78,2017-05-12 15:42:16,数据为空
79,2017-05-12 15:42:16,出校
80,2017-05-12 15:42:16,出校
81,2017-05-12 15:42:16,出校
82,2017-05-12 15:42:16,出校
83,2017-05-12 15:42:16,出校
84,2017-05-12 15:42:16,出校
85,2017-05-12 15:42:16,数据为空
86,2017-05-12 15:42:16,数据为空
87,2017-05-12 15:42:16,出校
88,2017-05-12 15:42:16,出校
89,2017-05-12 15:42:16,出校
90,2017-05-12 15:42:16,出校
91,2017-05-12 15:42:16,出校
92,2017-05-12 15:42:16,出校
93,2017-05-12 15:42:16,出校
94,2017-05-12 15:42:16,数据为空
95,2017-05-12 15:42:16,出校
96,2017-05-12 15:42:16,出校
97,2017-05-12 15:42:16,出校
98,2017-05-12 15:42:16,出校
99,2017-05-12 15:42:16,出校
100,2017-05-12 15:42:16,出校
